location,Death Valley National Park,Death Valley National Park,Death Valley National Park,Death Valley National Park
lat,36.11240,36.11240,36.11240,36.11240
lon,-117.33333,-117.33333,-117.33333,-117.33333
asl,1147.952,1147.952,1147.952,1147.952
variable,Temperature,Temperature,Temperature,Precipitation Total
unit,°C,°C,°C,mm
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,sfc
resolution,daily,daily,daily,daily
aggregation,Maximum,Minimum,Mean,Summation
timestamp,Death Valley National Park Temperature [2 m elevation corrected],Death Valley National Park Temperature [2 m elevation corrected],Death Valley National Park Temperature [2 m elevation corrected],Death Valley National Park Precipitation Total
20190101T0000,-0.6388104,-7.9088106,-4.2654767,0.0
20190102T0000,2.4911895,-9.5288105,-3.1471434,0.0
20190103T0000,5.78119,-5.6888103,-0.14256048,0.0
20190104T0000,5.5611897,-4.09881,0.35577306,0.0
20190105T0000,1.4311895,-2.2188103,-0.7863104,0.1
20190106T0000,4.7111893,-4.3388104,-0.2608936,1.0
20190107T0000,6.0511894,-0.20881033,2.2436893,0.70000005
20190108T0000,7.0911894,-1.4388103,3.442023,0.0
20190109T0000,8.57119,1.0111895,4.7166066,0.0
20190110T0000,9.39119,-0.3488102,5.31869,0.0
20190111T0000,7.7311897,-1.1488104,3.3724391,0.0
20190112T0000,4.4811897,0.5411897,2.6870224,0.2
20190113T0000,5.831189,-2.3988104,2.1361892,0.0
20190114T0000,2.8811893,-3.6088104,-0.021310529,11.7
20190115T0000,2.0811896,-2.9788103,-0.62422705,3.0000002
20190116T0000,6.2111893,-0.1788106,3.284523,2.8
20190117T0000,7.8411894,2.5211897,5.4945235,19.4
20190118T0000,9.171189,-0.16881037,4.194523,0.0
20190119T0000,10.7211895,0.2711897,5.189523,0.0
20190120T0000,7.5211897,2.9111896,5.3478565,0.0
20190121T0000,5.70119,-1.1188104,2.3136897,0.1
20190122T0000,4.0211897,-3.3988104,0.2899396,0.0
20190123T0000,8.591189,-3.4288106,2.0082731,0.0
20190124T0000,8.81119,-1.3888104,3.7978556,0.0
20190125T0000,9.251189,0.02118969,4.496606,0.0
20190126T0000,10.32119,2.1011896,6.424106,0.0
20190127T0000,14.551189,2.7711897,8.217856,0.0
20190128T0000,13.08119,2.5011897,7.995774,0.0
20190129T0000,11.74119,5.581189,8.38494,0.0
20190130T0000,11.83119,1.9711895,7.257023,0.0
20190131T0000,9.121189,3.5211897,6.7303567,0.0
20190201T0000,9.051189,0.7211895,5.421606,0.0
20190202T0000,6.291189,0.61118937,3.4891062,20.1
20190203T0000,8.10119,-0.55881023,3.1153562,1.2
20190204T0000,3.8211899,-0.68881035,1.768273,3.8999999
20190205T0000,0.51118946,-3.8988104,-1.5883937,1.0
20190206T0000,0.14118958,-6.7588105,-3.0821435,0.4
20190207T0000,1.2311897,-6.4788103,-2.1979773,0.0
20190208T0000,2.6011896,-5.0688105,-1.3688103,0.0
20190209T0000,3.5911894,-4.5188103,-0.5525605,0.0
20190210T0000,1.3111897,-4.6088104,-1.8367271,1.4000001
20190211T0000,1.9211898,-5.8188105,-2.1292274,0.0
20190212T0000,2.8811893,-7.0088105,-1.3346437,0.0
20190213T0000,4.44119,-0.20881033,1.9082726,0.3
20190214T0000,4.6311893,-0.98881054,1.9820228,16.6
20190215T0000,4.44119,-3.5988104,-0.0008937915,0.0
20190216T0000,2.9111896,-3.4288106,-0.55006045,0.1
20190217T0000,0.24118948,-5.1188107,-2.4742272,0.9
20190218T0000,0.5711894,-5.59881,-2.5975606,0.2
20190219T0000,1.0711894,-5.7788105,-2.2950602,0.0
20190220T0000,1.1611896,-4.6088104,-2.1371436,4.9
20190221T0000,-2.4988105,-8.26881,-5.3575597,9.000001
20190222T0000,2.6611896,-9.34881,-4.6913104,0.0
20190223T0000,2.9111896,-8.91881,-2.4383938,0.0
20190224T0000,6.57119,-5.5788107,0.76035625,0.0
20190225T0000,10.90119,1.5911894,5.353273,0.0
20190226T0000,11.83119,0.6511898,6.187856,0.0
20190227T0000,12.56119,0.6011896,6.61869,0.0
20190228T0000,15.521189,2.3311896,8.282855,0.0
20190301T0000,12.83119,4.6711893,7.7386894,0.0
20190302T0000,11.11119,3.1511898,6.4695225,6.7
20190303T0000,12.451189,2.2611895,6.370773,0.0
