Day,MIP-3H Gas (MCF),MIP-3H Cum Gas (MMCF)
12/2/2015,0,0
12/3/2015,0,0
12/4/2015,0,0
12/5/2015,0,0
12/6/2015,0,0
12/7/2015,0,0
12/8/2015,0,0
12/9/2015,0,0
12/10/2015,0,0
12/11/2015,0,0
12/12/2015,664.91,0.66
12/13/2015,2943.99,3.61
12/14/2015,4305.03,7.91
12/15/2015,4740.15,12.65
12/16/2015,5462.38,18.12
12/17/2015,1354.16,19.47
12/18/2015,1945.04,21.42
12/19/2015,3196.64,24.61
12/20/2015,2895.78,27.51
12/21/2015,2917.1,30.43
12/22/2015,2225.29,32.65
12/23/2015,2475.46,35.13
12/24/2015,2035.66,37.16
12/25/2015,2365.87,39.53
12/26/2015,1799.66,41.33
12/27/2015,2590.96,43.92
12/28/2015,3196.49,47.11
12/29/2015,3799.96,50.91
12/30/2015,2659.4,53.57
12/31/2015,3924.06,57.5
1/1/2016,5917.23,63.42
1/2/2016,6145.45,69.56
1/3/2016,4142.8,73.7
1/4/2016,4074.37,77.78
1/5/2016,4057.66,81.84
1/6/2016,3849.8,85.69
1/7/2016,3751.4,89.44
1/8/2016,3494.67,92.93
1/9/2016,3462.49,96.39
1/10/2016,3157.14,99.55
1/11/2016,3219.27,102.77
1/12/2016,2898.89,105.67
1/13/2016,2378.04,108.05
1/14/2016,3703.35,111.75
1/15/2016,3342.16,115.09
1/16/2016,3107.91,118.2
1/17/2016,3028.51,121.23
1/18/2016,3068.8,124.3
1/19/2016,4119.02,128.42
1/20/2016,4445.11,132.86
1/21/2016,4275.2,137.14
1/22/2016,4496.11,141.63
1/23/2016,4494.03,146.13
1/24/2016,4563.59,150.69
1/25/2016,4540.97,155.23
1/26/2016,4656.5,159.89
1/27/2016,4633.13,164.52
1/28/2016,4607.09,169.13
1/29/2016,4725.39,173.85
1/30/2016,4753.78,178.61
1/31/2016,3919.84,182.53
2/1/2016,2905.64,185.43
2/2/2016,3097.77,188.53
2/3/2016,3140.86,191.67
2/4/2016,3135.94,194.81
2/5/2016,5227.11,200.04
2/6/2016,4601.63,204.64
2/7/2016,4446.22,209.08
2/8/2016,4498.67,213.58
2/9/2016,4537.02,218.12
2/10/2016,5327.66,223.45
2/11/2016,5839.31,229.29
2/12/2016,5497.22,234.78
2/13/2016,4310.33,239.09
2/14/2016,4290.83,243.38
2/15/2016,4283.41,247.67
2/16/2016,5291.52,252.96
2/17/2016,3730.97,256.69
2/18/2016,4350.89,261.04
2/19/2016,4329.45,265.37
2/20/2016,2981.56,268.35
2/21/2016,2225.91,270.58
2/22/2016,2583.63,273.16
2/23/2016,3882,277.04
2/24/2016,2927.19,279.97
2/25/2016,2769.31,282.74
2/26/2016,3981.03,286.72
2/27/2016,3920.06,290.64
2/28/2016,3811.59,294.45
2/29/2016,1103.72,295.56
3/1/2016,2846.66,298.4
3/2/2016,1179.13,299.58
3/3/2016,3501.88,303.08
3/4/2016,3539.53,306.62
3/5/2016,3612.31,310.24
3/6/2016,3087.38,313.32
3/7/2016,1789.69,315.11
3/8/2016,3147.16,318.26
3/9/2016,2495.59,320.76
3/10/2016,2491.56,323.25
3/11/2016,1727.25,324.97
3/12/2016,2371.53,327.35
3/13/2016,2511.28,329.86
3/14/2016,2545.44,332.4
3/15/2016,962.88,333.37
3/16/2016,2008.56,335.37
3/17/2016,2056,337.43
3/18/2016,2503.38,339.93
3/19/2016,2771.75,342.71
3/20/2016,2795.5,345.5
3/21/2016,2913.94,348.41
3/22/2016,2945.13,351.36
3/23/2016,2938.78,354.3
3/24/2016,2927.94,357.23
3/25/2016,1656.03,358.88
3/26/2016,2412.5,361.29
3/27/2016,2444.66,363.74
3/28/2016,2361.63,366.1
3/29/2016,1990.94,368.09
3/30/2016,2249.63,370.34
3/31/2016,3306.97,373.65
4/1/2016,2339.59,375.99
4/2/2016,3085.16,379.07
4/3/2016,3582.94,382.66
4/4/2016,3447.13,386.1
4/5/2016,3467.75,389.57
4/6/2016,3853.75,393.43
4/7/2016,4328.69,397.75
4/8/2016,5035.66,402.79
4/9/2016,5265.06,408.05
4/10/2016,5263.28,413.32
4/11/2016,4162.03,417.48
4/12/2016,3150.16,420.63
4/13/2016,3814.53,424.44
4/14/2016,4103.94,428.55
4/15/2016,2747.59,431.3
4/16/2016,2411.19,433.71
4/17/2016,2507.06,436.21
4/18/2016,2159.09,438.37
4/19/2016,2148.94,440.52
4/20/2016,2570,443.09
4/21/2016,3108.56,446.2
4/22/2016,2709.63,448.91
4/23/2016,2440.97,451.35
4/24/2016,2836.88,454.19
4/25/2016,2593.13,456.78
4/26/2016,1533.09,458.31
4/27/2016,1939.47,460.25
4/28/2016,2065.59,462.32
4/29/2016,2175.53,464.5
4/30/2016,2240.88,466.74
5/1/2016,2145.72,468.88
5/2/2016,2032.94,470.91
5/3/2016,2050.53,472.97
5/4/2016,2286.66,475.25
5/5/2016,2624.72,477.88
5/6/2016,2786.56,480.66
5/7/2016,2372.56,483.04
5/8/2016,1210.84,484.25
5/9/2016,2123.25,486.37
5/10/2016,2962.09,489.33
5/11/2016,2326.28,491.66
5/12/2016,1928.06,493.59
5/13/2016,1148.13,494.73
5/14/2016,1620.47,496.35
5/15/2016,3122.16,499.48
5/16/2016,3308.31,502.79
5/17/2016,2836.41,505.62
5/18/2016,2753.56,508.38
5/19/2016,3277.94,511.65
5/20/2016,2315.09,513.97
5/21/2016,1429.09,515.4
5/22/2016,1955.41,517.35
5/23/2016,2364.16,519.72
5/24/2016,1618.56,521.34
5/25/2016,1936.28,523.27
5/26/2016,1924.28,525.2
5/27/2016,1936.69,527.13
5/28/2016,3114.56,530.25
5/29/2016,1134.38,531.38
5/30/2016,502.75,531.88
5/31/2016,1305.69,533.19
6/1/2016,1287,534.48
6/2/2016,1260.81,535.74
6/3/2016,1176.69,536.91
6/4/2016,1587.19,538.5
6/5/2016,1605.5,540.11
6/6/2016,1741.13,541.85
6/7/2016,1640.31,543.49
6/8/2016,1826.88,545.32
6/9/2016,2071.13,547.39
6/10/2016,1962.19,549.35
6/11/2016,1778.56,551.13
6/12/2016,1626.13,552.75
6/13/2016,1855.06,554.61
6/14/2016,1810.56,556.42
6/15/2016,1794.25,558.21
6/16/2016,1668.13,559.88
6/17/2016,1822.69,561.7
6/18/2016,1751.69,563.46
6/19/2016,1575.44,565.03
6/20/2016,1478.06,566.51
6/21/2016,1603.44,568.11
6/22/2016,1613.94,569.73
6/23/2016,1650.44,571.38
6/24/2016,1749.63,573.13
6/25/2016,1616.63,574.74
6/26/2016,1530.75,576.27
6/27/2016,2492,578.77
6/28/2016,2518.19,581.28
6/29/2016,2672.88,583.96
6/30/2016,2568.63,586.53
7/1/2016,1612.56,588.14
7/2/2016,1546.44,589.69
7/3/2016,1531.56,591.22
7/4/2016,1510.94,592.73
7/5/2016,2248,594.98
7/6/2016,1532.88,596.51
7/7/2016,2028.19,598.54
7/8/2016,1622.75,600.16
7/9/2016,1812.38,601.97
7/10/2016,1731.38,603.7
7/11/2016,1968.25,605.67
7/12/2016,1962.38,607.63
7/13/2016,1735.38,609.37
7/14/2016,1661.63,611.03
7/15/2016,1684.69,612.72
7/16/2016,1722.44,614.44
7/17/2016,1523.06,615.96
7/18/2016,0,615.96
7/19/2016,1804.94,617.77
7/20/2016,2091.56,619.86
7/21/2016,2148.31,622.01
7/22/2016,1538.88,623.54
7/23/2016,1605.06,625.15
7/24/2016,1647.69,626.8
7/25/2016,1791.06,628.59
7/26/2016,679.81,629.27
7/27/2016,1602.13,630.87
7/28/2016,1565.56,632.44
7/29/2016,1234.44,633.67
7/30/2016,1805.25,635.48
7/31/2016,1121.06,636.6
8/1/2016,1472.75,638.07
8/2/2016,1765.69,639.84
8/3/2016,1667.63,641.5
8/4/2016,992.56,642.5
8/5/2016,1796.81,644.29
8/6/2016,668.19,644.96
8/7/2016,1896.75,646.86
8/8/2016,1772.94,648.63
8/9/2016,1875.5,650.51
8/10/2016,1167.81,651.67
8/11/2016,1682.19,653.36
8/12/2016,1553.75,654.91
8/13/2016,1458.19,656.37
8/14/2016,763.81,657.13
8/15/2016,1420.31,658.55
8/16/2016,1528,660.08
8/17/2016,1307.06,661.39
8/18/2016,1245.44,662.63
8/19/2016,1601.06,664.23
8/20/2016,1534.25,665.77
8/21/2016,1620.13,667.39
8/22/2016,1558.5,668.95
8/23/2016,394.25,669.34
8/24/2016,1910.06,671.25
8/25/2016,1652.44,672.9
8/26/2016,1519.94,674.42
8/27/2016,324.06,674.75
8/28/2016,1599.13,676.35
8/29/2016,1490.44,677.84
8/30/2016,1270.69,679.11
8/31/2016,1711.06,680.82
9/1/2016,1008.94,681.83
9/2/2016,1574.5,683.4
9/3/2016,1682.94,685.08
9/4/2016,1480.19,686.56
9/5/2016,1577.81,688.14
9/6/2016,1730.38,689.87
9/7/2016,1806.13,691.68
9/8/2016,1545.06,693.22
9/9/2016,1546.19,694.77
9/10/2016,1641.81,696.41
9/11/2016,1746.94,698.16
9/12/2016,2131.5,700.29
9/13/2016,1151.06,701.44
9/14/2016,1990.25,703.43
9/15/2016,1971.94,705.4
9/16/2016,1267.44,706.67
9/17/2016,470.81,707.14
9/18/2016,719.19,707.86
9/19/2016,1233,709.09
9/20/2016,1865.81,710.96
9/21/2016,1650.19,712.61
9/22/2016,1648.19,714.26
9/23/2016,1821,716.08
9/24/2016,1562.75,717.64
9/25/2016,1696.69,719.34
9/26/2016,1660,721
9/27/2016,1720.5,722.72
9/28/2016,1876.94,724.6
9/29/2016,1104.88,725.7
9/30/2016,0,725.7
10/1/2016,242.56,725.94
10/2/2016,16.88,725.96
10/3/2016,0.63,725.96
10/4/2016,1034.44,727
10/5/2016,2513.63,729.51
10/6/2016,179.63,729.69
10/7/2016,1636.56,731.33
10/8/2016,1941.06,733.27
10/9/2016,2349.44,735.62
10/10/2016,2508.75,738.12
10/11/2016,3336.19,741.46
10/12/2016,3540.75,745
10/13/2016,3291,748.29
10/14/2016,3638.44,751.93
10/15/2016,3695.88,755.63
10/16/2016,3273.31,758.9
10/17/2016,1898.13,760.8
10/18/2016,2801.69,763.6
10/19/2016,2914,766.51
10/20/2016,1054.56,767.57
10/21/2016,1854.31,769.42
10/22/2016,1279.75,770.7
10/23/2016,1448.63,772.15
10/24/2016,1256.31,773.41
10/25/2016,2108,775.52
10/26/2016,1529,777.04
10/27/2016,2098.69,779.14
10/28/2016,1397,780.54
10/29/2016,1983.38,782.52
10/30/2016,3390.94,785.91
10/31/2016,3318.63,789.23
11/1/2016,2043.56,791.28
11/2/2016,878,792.15
11/3/2016,0,792.15
11/4/2016,459.06,792.61
11/5/2016,1608.38,794.22
11/6/2016,511.25,794.73
11/7/2016,0,794.73
11/8/2016,73.69,794.81
11/9/2016,0.06,794.81
11/10/2016,26.25,794.83
11/11/2016,1513.94,796.35
11/12/2016,2335.56,798.68
11/13/2016,1890,800.57
11/14/2016,1404.75,801.98
11/15/2016,0.06,801.98
11/16/2016,0,801.98
11/17/2016,1696.5,803.67
11/18/2016,1754,805.43
11/19/2016,2242.88,807.67
11/20/2016,1002.31,808.67
11/21/2016,0.19,808.67
11/22/2016,1822.63,810.5
11/23/2016,2647.5,813.14
11/24/2016,2125.69,815.27
11/25/2016,579.56,815.85
11/26/2016,2093.81,817.94
11/27/2016,1277.56,819.22
11/28/2016,2018.63,821.24
11/29/2016,52.69,821.29
11/30/2016,0.06,821.29
12/1/2016,5.81,821.3
12/2/2016,0,821.3
12/3/2016,0,821.3
12/4/2016,0,821.3
12/5/2016,0.06,821.3
12/6/2016,0.25,821.3
12/7/2016,2296.5,823.59
12/8/2016,4327.63,827.92
12/9/2016,4704.75,832.63
12/10/2016,5668.63,838.3
12/11/2016,5697.25,843.99
12/12/2016,5721.44,849.71
12/13/2016,5786.88,855.5
12/14/2016,5979.13,861.48
12/15/2016,6141,867.62
12/16/2016,6315.19,873.94
12/17/2016,5888.5,879.82
12/18/2016,3206.44,883.03
12/19/2016,4800.63,887.83
12/20/2016,1010.19,888.84
12/21/2016,5666.38,894.51
12/22/2016,5787.19,900.3
12/23/2016,5799.81,906.1
12/24/2016,5723.69,911.82
12/25/2016,5530.13,917.35
12/26/2016,5418.56,922.77
