Day,MIP-3H Gas (MCF),MIP-3H Cum Gas (MMCF)
12/2/2015,0,0
12/3/2015,0,0
12/4/2015,0,0
12/5/2015,0,0
12/6/2015,0,0
12/7/2015,0,0
12/8/2015,0,0
12/9/2015,0,0
12/10/2015,827,827
12/11/2015,1794,2621
12/12/2015,1395,4016
12/13/2015,1097,5113
12/14/2015,676,5789
12/15/2015,424,6213
12/16/2015,181,6394
12/17/2015,167,6561
12/18/2015,196,6757
12/19/2015,145,6902
12/20/2015,88,6990
12/21/2015,71,7061
12/22/2015,72,7133
12/23/2015,86,7219
12/24/2015,72,7291
12/25/2015,88,7379
12/26/2015,46,7425
12/27/2015,80,7505
12/28/2015,98,7603
12/29/2015,150,7753
12/30/2015,91,7844
12/31/2015,100,7944
1/1/2016,190,8134
1/2/2016,168,8302
1/3/2016,64,8366
1/4/2016,114.71,8480.71
1/5/2016,88.73,8569.44
1/6/2016,68.29,8637.73
1/7/2016,63.01,8700.74
1/8/2016,55.42,8756.16
1/9/2016,51.15,8807.31
1/10/2016,38.82,8846.13
1/11/2016,49.74,8895.87
1/12/2016,44.63,8940.5
1/13/2016,12.47,8952.97
1/14/2016,43.78,8996.75
1/15/2016,34.56,9031.31
1/16/2016,33.07,9064.38
1/17/2016,31.21,9095.59
1/18/2016,35.75,9131.34
1/19/2016,48.57,9179.91
1/20/2016,48.64,9228.55
1/21/2016,47.07,9275.62
1/22/2016,52.99,9328.61
1/23/2016,49.89,9378.5
1/24/2016,50.55,9429.05
1/25/2016,48.48,9477.53
1/26/2016,51.54,9529.07
1/27/2016,49.13,9578.2
1/28/2016,48.07,9626.27
1/29/2016,50.95,9677.22
1/30/2016,50.49,9727.71
1/31/2016,31.59,9759.3
2/1/2016,15.15,9774.45
2/2/2016,20.76,9795.21
2/3/2016,21.04,9816.25
2/4/2016,22.43,9838.68
2/5/2016,66.73,9905.41
2/6/2016,38.44,9943.85
2/7/2016,43.09,9986.94
2/8/2016,44.03,10030.97
2/9/2016,42.74,10073.71
2/10/2016,57.49,10131.2
2/11/2016,59.16,10190.36
2/12/2016,47.98,10238.34
2/13/2016,31.7,10270.04
2/14/2016,30.93,10300.97
2/15/2016,34.69,10335.66
2/16/2016,36.72,10372.38
2/17/2016,38.71,10411.09
2/18/2016,37.95,10449.04
2/19/2016,38.6,10487.64
2/20/2016,22.13,10509.77
2/21/2016,6.76,10516.53
2/22/2016,9.82,10526.35
2/23/2016,17.06,10543.41
2/24/2016,20.74,10564.15
2/25/2016,14.31,10578.46
2/26/2016,27.9,10606.36
2/27/2016,26.32,10632.68
2/28/2016,26.95,10659.63
2/29/2016,6.18,10665.81
3/1/2016,11.38,10677.19
3/2/2016,6.3,10683.49
3/3/2016,14.67,10698.16
3/4/2016,13.34,10711.5
3/5/2016,22.71,10734.21
3/6/2016,18.53,10752.74
3/7/2016,10.74,10763.48
3/8/2016,10.85,10774.33
3/9/2016,8.65,10782.98
3/10/2016,8.33,10791.31
3/11/2016,5.79,10797.1
3/12/2016,6.46,10803.56
3/13/2016,7.85,10811.41
3/14/2016,8.85,10820.26
3/15/2016,2.97,10823.23
3/16/2016,3.24,10826.47
3/17/2016,4.14,10830.61
3/18/2016,8.57,10839.18
3/19/2016,11.39,10850.57
3/20/2016,10,10860.57
3/21/2016,53.85,10914.42
3/22/2016,10.95,10925.37
3/23/2016,11.4,10936.77
3/24/2016,0.43,10937.2
3/25/2016,1.73,10938.93
3/26/2016,2.51,10941.44
3/27/2016,4.55,10945.99
3/28/2016,10.56,10956.55
3/29/2016,7.03,10963.58
3/30/2016,5.28,10968.86
3/31/2016,3.84,10972.7
4/1/2016,9.19,10981.89
4/2/2016,9.93,10991.82
4/3/2016,15.36,11007.18
4/4/2016,11.66,11018.84
4/5/2016,17.07,11035.91
4/6/2016,55.67,11091.58
4/7/2016,25.65,11117.23
4/8/2016,33.84,11151.07
4/9/2016,31.95,11183.02
4/10/2016,30.54,11213.56
4/11/2016,19.28,11232.84
4/12/2016,6.33,11239.17
4/13/2016,64.33,11303.5
4/14/2016,19.16,11322.66
4/15/2016,5.31,11327.97
4/16/2016,4.71,11332.68
4/17/2016,5.18,11337.86
4/18/2016,3.12,11340.98
4/19/2016,46.41,11387.39
4/20/2016,6.96,11394.35
4/21/2016,10.38,11404.73
4/22/2016,8.34,11413.07
4/23/2016,3.67,11416.74
4/24/2016,8.82,11425.56
4/25/2016,6.27,11431.83
4/26/2016,43.9,11475.73
4/27/2016,1.13,11476.86
4/28/2016,2.41,11479.27
4/29/2016,3.46,11482.73
4/30/2016,3.87,11486.6
5/1/2016,3.07,11489.67
5/2/2016,3.29,11492.96
5/3/2016,3.13,11496.09
5/4/2016,4.35,11500.44
5/5/2016,8.95,11509.39
5/6/2016,7.45,11516.84
5/7/2016,5.51,11522.35
5/8/2016,2.07,11524.42
5/9/2016,4.53,11528.95
5/10/2016,8.21,11537.16
5/11/2016,7.26,11544.42
5/12/2016,2.04,11546.46
5/13/2016,0.6,11547.06
5/14/2016,3.46,11550.52
5/15/2016,9.59,11560.11
5/16/2016,10.86,11570.97
5/17/2016,8.96,11579.93
5/18/2016,8.04,11587.97
5/19/2016,12.82,11600.79
5/20/2016,4.97,11605.76
5/21/2016,1.99,11607.75
5/22/2016,3.9,11611.65
5/23/2016,4.05,11615.7
5/24/2016,1.18,11616.88
5/25/2016,1.29,11618.17
5/26/2016,1.51,11619.68
5/27/2016,1.32,11621
5/28/2016,1.71,11622.71
5/29/2016,2.43,11625.14
5/30/2016,0.24,11625.38
5/31/2016,0.79,11626.17
6/1/2016,1.08,11627.25
6/2/2016,0.86,11628.11
6/3/2016,0,11628.11
6/4/2016,0.71,11628.82
6/5/2016,0.74,11629.56
6/6/2016,0.88,11630.44
6/7/2016,0.99,11631.43
6/8/2016,4.43,11635.86
6/9/2016,0.95,11636.81
6/10/2016,2.38,11639.19
6/11/2016,0.68,11639.87
6/12/2016,0.65,11640.52
6/13/2016,1.58,11642.1
6/14/2016,1.94,11644.04
6/15/2016,1.18,11645.22
6/16/2016,1.01,11646.23
6/17/2016,1.76,11647.99
6/18/2016,1.93,11649.92
6/19/2016,1.3,11651.22
6/20/2016,1.25,11652.47
6/21/2016,0.84,11653.31
6/22/2016,1.17,11654.48
6/23/2016,1.09,11655.57
6/24/2016,1.61,11657.18
6/25/2016,1.2,11658.38
6/26/2016,1.29,11659.67
6/27/2016,5.44,11665.11
6/28/2016,4.51,11669.62
6/29/2016,7.53,11677.15
6/30/2016,6.69,11683.84
7/1/2016,1.58,11685.42
7/2/2016,0.92,11686.34
7/3/2016,0.82,11687.16
7/4/2016,1.91,11689.07
7/5/2016,5.58,11694.65
7/6/2016,0.89,11695.54
7/7/2016,3.36,11698.9
7/8/2016,1.01,11699.91
7/9/2016,1.21,11701.12
7/10/2016,1.21,11702.33
7/11/2016,1.87,11704.2
7/12/2016,2.05,11706.25
7/13/2016,1.98,11708.23
7/14/2016,0.41,11708.64
7/15/2016,1.98,11710.62
7/16/2016,1.41,11712.03
7/17/2016,1.35,11713.38
7/18/2016,0,11713.38
7/19/2016,1.16,11714.54
7/20/2016,0.38,11714.92
7/21/2016,2.59,11717.51
7/22/2016,1.27,11718.78
7/23/2016,0.38,11719.16
7/24/2016,0.59,11719.75
7/25/2016,1.81,11721.56
7/26/2016,0,11721.56
7/27/2016,0,11721.56
7/28/2016,0,11721.56
7/29/2016,0,11721.56
7/30/2016,0,11721.56
7/31/2016,0,11721.56
8/1/2016,0,11721.56
8/2/2016,0,11721.56
8/3/2016,0,11721.56
8/4/2016,0,11721.56
8/5/2016,0,11721.56
8/6/2016,0,11721.56
8/7/2016,0,11721.56
8/8/2016,0,11721.56
8/9/2016,0,11721.56
8/10/2016,0,11721.56
8/11/2016,0,11721.56
8/12/2016,0,11721.56
8/13/2016,0,11721.56
8/14/2016,0,11721.56
8/15/2016,0,11721.56
8/16/2016,0,11721.56
8/17/2016,0,11721.56
8/18/2016,0,11721.56
8/19/2016,0,11721.56
8/20/2016,0,11721.56
8/21/2016,0,11721.56
8/22/2016,0,11721.56
8/23/2016,0,11721.56
8/24/2016,0,11721.56
8/25/2016,0,11721.56
8/26/2016,0,11721.56
8/27/2016,0,11721.56
8/28/2016,0,11721.56
8/29/2016,0,11721.56
8/30/2016,0,11721.56
8/31/2016,1.67,11723.23
9/1/2016,1.29,11724.52
9/2/2016,2.56,11727.08
9/3/2016,1.08,11728.16
9/4/2016,0.37,11728.53
9/5/2016,0.84,11729.37
9/6/2016,1.73,11731.1
9/7/2016,2.19,11733.29
9/8/2016,1.13,11734.42
9/9/2016,0.6,11735.02
9/10/2016,1.1,11736.12
9/11/2016,0.79,11736.91
9/12/2016,0.54,11737.45
9/13/2016,3.34,11740.79
9/14/2016,1.47,11742.26
9/15/2016,0.29,11742.55
9/16/2016,2.09,11744.64
9/17/2016,0.19,11744.83
9/18/2016,0.26,11745.09
9/19/2016,0.24,11745.33
9/20/2016,0.48,11745.81
9/21/2016,0.49,11746.3
9/22/2016,1.47,11747.77
9/23/2016,1.84,11749.61
9/24/2016,1.18,11750.79
9/25/2016,2.33,11753.12
9/26/2016,2.65,11755.77
9/27/2016,2.87,11758.64
9/28/2016,3.03,11761.67
9/29/2016,2.44,11764.11
9/30/2016,0,11764.11
10/1/2016,0.32,11764.43
10/2/2016,0.08,11764.51
10/3/2016,0,11764.51
10/4/2016,1.1,11765.61
10/5/2016,0.44,11766.05
10/6/2016,0.26,11766.31
10/7/2016,0.22,11766.53
10/8/2016,0.29,11766.82
10/9/2016,0.24,11767.06
10/10/2016,0.36,11767.42
10/11/2016,0.85,11768.27
10/12/2016,5,11773.27
10/13/2016,1.81,11775.08
10/14/2016,3.94,11779.02
10/15/2016,3.22,11782.24
10/16/2016,0.95,11783.19
10/17/2016,3.9,11787.09
10/18/2016,2.2,11789.29
10/19/2016,0.56,11789.85
10/20/2016,0.26,11790.11
10/21/2016,0.85,11790.96
10/22/2016,0.54,11791.5
10/23/2016,0.44,11791.94
10/24/2016,0.3,11792.24
10/25/2016,0.7,11792.94
10/26/2016,0.82,11793.76
10/27/2016,0.78,11794.54
10/28/2016,1.59,11796.13
10/29/2016,0.64,11796.77
10/30/2016,0.36,11797.13
10/31/2016,2.04,11799.17
11/1/2016,0.68,11799.85
11/2/2016,0.4,11800.25
11/3/2016,0,11800.25
11/4/2016,0.06,11800.31
11/5/2016,0.33,11800.64
11/6/2016,0.28,11800.92
11/7/2016,0,11800.92
11/8/2016,0.12,11801.04
11/9/2016,0,11801.04
11/10/2016,0.06,11801.1
11/11/2016,0.56,11801.66
11/12/2016,0.89,11802.55
11/13/2016,0.61,11803.16
11/14/2016,0.76,11803.92
11/15/2016,0,11803.92
11/16/2016,0,11803.92
11/17/2016,0.31,11804.23
11/18/2016,0.63,11804.86
11/19/2016,0.24,11805.1
11/20/2016,0.27,11805.37
11/21/2016,0,11805.37
11/22/2016,0.59,11805.96
11/23/2016,1.41,11807.37
11/24/2016,1.96,11809.33
11/25/2016,0.67,11810
11/26/2016,0.73,11810.73
11/27/2016,1.2,11811.93
11/28/2016,1.06,11812.99
11/29/2016,0.09,11813.08
11/30/2016,0,11813.08
12/1/2016,0.01,11813.09
12/2/2016,0,11813.09
12/3/2016,0,11813.09
12/4/2016,0,11813.09
12/5/2016,0,11813.09
12/6/2016,0,11813.09
12/7/2016,0.83,11813.92
12/8/2016,2.15,11816.07
12/9/2016,15.42,11831.49
12/10/2016,25.52,11857.01
12/11/2016,24.42,11881.43
12/12/2016,22.25,11903.68
12/13/2016,22.24,11925.92
12/14/2016,24.87,11950.79
12/15/2016,22.2,11972.99
12/16/2016,20.79,11993.78
12/17/2016,21.87,12015.65
12/18/2016,3.22,12018.87
12/19/2016,13.22,12032.09
12/20/2016,86.36,12118.45
12/21/2016,9.24,12127.69
12/22/2016,17.5,12145.19
12/23/2016,19.07,12164.26
12/24/2016,18.06,12182.32
12/25/2016,18.15,12200.47
12/26/2016,18.2,12218.67
12/27/2016,9.45,12228.12
12/28/2016,15.03,12243.15
12/29/2016,17.69,12260.84
12/30/2016,10.39,12271.23
12/31/2016,2.64,12273.87
1/1/2017,0.17,12274.04
1/2/2017,0.25,12274.29
